Date,Temperature (C),Humidity (%),Wind Speed (km/h),Pressure (hPa),Rainfall (mm),Weather Condition
2023-09-08,25.4,73.6,25.7,997.9,0.1,Drizzle
2023-09-09,20.2,80.9,19.8,1021.7,0.4,Drizzle
2023-09-10,23.7,74.8,24.8,999.2,0.1,Drizzle
2023-09-11,28.0,72.2,28.1,1022.5,0.5,Drizzle
2023-09-12,27.0,53.7,19.4,1001.8,0.3,Sunny
2023-09-13,28.1,54.4,27.6,1012.7,0.1,Sunny
2023-09-14,27.7,89.0,26.0,1012.5,1.7,Drizzle
2023-09-15,23.8,68.7,23.2,1009.9,0.2,Partly Cloudy
2023-09-16,23.0,69.0,21.3,1013.1,0.4,Partly Cloudy
2023-09-17,30.3,80.4,17.8,1019.2,0.4,Drizzle
2023-09-18,23.8,79.0,22.8,1017.9,0.5,Drizzle
2023-09-19,25.0,70.0,18.0,1011.0,0.3,Partly Cloudy
2023-09-20,24.8,75.2,23.1,999.7,0.1,Sunny
2023-09-21,21.9,86.8,23.1,1005.0,0.4,Drizzle
2023-09-22,18.5,83.5,22.2,1022.2,0.4,Drizzle
2023-09-23,23.1,60.6,22.2,1021.8,1.4,Cloudy
2023-09-24,18.8,75.8,20.8,998.0,1.1,Drizzle
2023-09-25,21.1,79.3,33.0,983.4,0.9,Drizzle
2023-09-26,20.1,81.6,25.4,1005.4,0.1,Drizzle
2023-09-27,14.9,90.6,19.9,994.7,0.4,Drizzle
2023-09-28,18.7,76.6,22.4,1005.8,1.0,Drizzle
2023-09-29,18.9,71.2,35.2,1009.3,0.1,Drizzle
2023-09-30,19.1,79.4,26.7,1017.7,0.9,Drizzle
2023-10-01,13.7,83.7,26.4,993.2,1.4,Drizzle
2023-10-02,22.4,62.2,31.4,1009.2,0.8,Partly Cloudy
2023-10-03,17.2,86.7,19.9,997.3,0.4,Drizzle
2023-10-04,15.8,64.9,23.8,1005.5,0.1,Cloudy
2023-10-05,17.9,88.0,31.3,1010.4,0.6,Drizzle
2023-10-06,17.5,83.3,20.9,1017.1,0.6,Drizzle
2023-10-07,14.4,70.5,23.5,1014.9,0.2,Drizzle
2023-10-08,21.4,55.8,29.9,1008.6,0.1,Partly Cloudy
2023-10-09,18.4,100.0,24.3,1009.2,0.4,Drizzle
2023-10-10,14.3,69.9,23.1,1010.2,0.0,Sunny
2023-10-11,15.6,82.2,22.2,1015.5,1.6,Drizzle
2023-10-12,24.4,69.0,25.1,1012.7,0.4,Partly Cloudy
2023-10-13,21.3,68.3,33.5,1024.6,0.8,Partly Cloudy
2023-10-14,17.5,80.0,23.1,1007.0,0.2,Drizzle
2023-10-15,17.0,81.7,26.4,1003.3,1.2,Drizzle
2023-10-16,19.1,82.6,26.5,1017.2,0.5,Drizzle
2023-10-17,14.8,76.0,25.6,999.8,0.8,Drizzle
2023-10-18,15.8,68.8,23.7,1015.3,0.7,Partly Cloudy
2023-10-19,15.5,86.2,27.9,1016.4,0.9,Drizzle
2023-10-20,19.2,68.4,24.3,1015.8,0.3,Cloudy
2023-10-21,12.5,93.7,31.0,1023.2,0.5,Drizzle
2023-10-22,8.2,86.2,40.1,1007.4,0.4,Drizzle
2023-10-23,8.2,79.0,29.5,1010.8,0.1,Drizzle
2023-10-24,11.7,77.9,28.8,1003.1,0.1,Drizzle
2023-10-25,14.2,71.7,23.1,1016.2,0.2,Drizzle
2023-10-26,19.4,94.7,25.9,1033.6,0.7,Drizzle
2023-10-27,11.1,85.8,28.7,1000.0,0.2,Drizzle
2023-10-28,16.9,87.1,27.5,1013.3,0.4,Drizzle
2023-10-29,19.6,90.4,29.6,1016.8,0.3,Drizzle
2023-10-30,15.3,61.1,24.4,1020.3,0.0,Cloudy
2023-10-31,7.7,100.0,25.3,1020.5,0.7,Drizzle
2023-11-01,15.2,74.1,34.8,1018.9,0.4,Drizzle
2023-11-02,11.5,56.1,33.1,993.5,0.4,Sunny
2023-11-03,7.1,81.3,25.8,1002.4,0.2,Drizzle
2023-11-04,7.5,92.7,30.0,997.2,1.1,Drizzle
2023-11-05,14.5,90.5,32.2,1015.0,0.3,Drizzle
2023-11-06,13.4,76.7,23.8,1009.3,0.4,Drizzle
2023-11-07,13.3,81.9,28.6,1022.5,0.2,Drizzle
2023-11-08,12.5,78.5,34.1,1011.6,0.3,Drizzle
2023-11-09,10.4,97.3,25.3,1003.5,0.1,Drizzle
2023-11-10,16.5,88.6,25.4,1020.3,0.4,Drizzle
2023-11-11,4.0,78.4,28.2,1007.7,0.3,Drizzle
2023-11-12,12.5,93.9,30.7,991.8,0.9,Drizzle
2023-11-13,6.0,92.1,26.5,1014.1,0.2,Drizzle
2023-11-14,6.8,90.0,31.6,1011.8,0.2,Drizzle
2023-11-15,7.5,86.5,25.4,1000.7,0.4,Drizzle
2023-11-16,11.9,69.4,43.5,1023.0,0.0,Partly Cloudy
2023-11-17,21.3,93.0,28.5,993.1,0.4,Drizzle
2023-11-18,6.5,66.1,45.9,1016.1,0.2,Sunny
2023-11-19,12.1,79.0,32.0,1005.3,1.0,Drizzle
2023-11-20,12.5,76.4,31.9,1025.1,0.3,Drizzle
2023-11-21,14.3,88.1,28.0,1014.8,0.0,Cloudy
2023-11-22,10.3,98.6,38.9,1011.7,0.1,Drizzle
2023-11-23,9.6,76.4,41.4,1020.4,0.2,Drizzle
2023-11-24,5.4,89.0,26.4,1009.9,0.5,Drizzle
2023-11-25,6.4,66.6,53.2,1006.9,0.8,Partly Cloudy
2023-11-26,13.3,77.3,29.8,1018.5,0.4,Drizzle
2023-11-27,9.4,88.7,29.8,993.1,1.7,Drizzle
2023-11-28,9.9,92.5,27.0,1009.9,0.0,Cloudy
2023-11-29,1.6,89.3,27.5,1012.2,0.1,Drizzle
2023-11-30,11.2,92.9,26.9,1023.6,0.6,Drizzle
2023-12-01,-0.3,82.7,30.2,1003.0,0.0,Cloudy
2023-12-02,6.4,89.3,26.8,994.9,0.2,Drizzle
2023-12-03,15.6,97.2,31.8,1024.7,1.1,Drizzle
2023-12-04,10.6,94.2,37.5,1001.5,0.1,Drizzle
2023-12-05,5.6,88.8,27.1,1012.7,0.7,Drizzle
2023-12-06,8.1,86.9,39.2,1012.2,0.9,Drizzle
2023-12-07,8.1,97.3,34.2,1003.4,0.6,Drizzle
2023-12-08,5.9,95.6,32.5,1010.6,0.2,Drizzle
2023-12-09,12.2,79.0,30.6,1007.5,0.1,Drizzle
2023-12-10,6.2,94.9,39.3,1012.3,0.3,Drizzle
2023-12-11,8.5,100.0,27.9,998.0,0.3,Drizzle
2023-12-12,9.3,71.5,26.7,999.2,0.1,Drizzle
2023-12-13,4.7,91.0,26.3,1007.2,0.1,Drizzle
2023-12-14,9.0,83.0,29.8,1018.3,0.5,Drizzle
2023-12-15,8.7,98.9,36.2,993.8,1.6,Drizzle
2023-12-16,5.4,75.6,36.8,1015.7,0.0,Partly Cloudy
2023-12-17,7.5,89.5,59.3,1019.5,0.3,Drizzle
2023-12-18,3.7,90.2,28.5,1008.6,0.5,Drizzle
2023-12-19,4.0,95.8,29.2,999.0,0.7,Drizzle
2023-12-20,6.5,84.9,26.7,1010.5,0.4,Drizzle
2023-12-21,5.0,77.8,26.9,1010.7,0.7,Drizzle
2023-12-22,8.4,64.4,32.2,1021.5,0.6,Partly Cloudy
2023-12-23,10.0,94.0,27.6,1016.6,1.0,Drizzle
2023-12-24,7.5,67.5,28.6,1016.6,0.9,Sunny
2023-12-25,9.9,91.1,27.0,1007.8,0.1,Drizzle
2023-12-26,3.4,95.6,30.0,1005.7,0.4,Drizzle
2023-12-27,11.3,96.2,32.4,1009.4,0.1,Drizzle
2023-12-28,6.9,91.2,43.6,1006.8,1.2,Drizzle
2023-12-29,4.0,76.6,30.9,1010.8,0.5,Drizzle
2023-12-30,7.7,84.9,31.4,992.2,0.5,Drizzle
